Question,GT Answer,"hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.15,0.55,0.3]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.2,0.55,0.25]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.6,0.1]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[0.3,0.5,0.2]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.1,0.45,0.45]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.2,0.4,0.4]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.3,0.35,0.35]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[0.4,0.3,0.3]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google","hotpotqa-medium_got-3+demos-sa-knn+cx+t5-nli-ec+ci+[1.0,0.0,0.0]+[1.0,0.0,0.0]_gpt-3.5-turbo-1106_google"
From which alphabet was this alphabet derived that the name of the club Ilysiakos B.C. has the starting letter of?,['Phoenician alphabet'],Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet,Phoenician alphabet
Wim Jonk manages Cruyff Football together with the footballer who is also currently manager of which team?,['Tel Aviv'],Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,Volendam,FC Volendam,FC Volendam,FC Volendam,FC Volendam,FC Volendam
"Which band has released more albums with their original members, Sick Puppies or Third Eye Blind?",['Sick Puppies'],Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Third Eye Blind,Sick Puppies,Sick Puppies,Sick Puppies,Sick Puppies,Sick Puppies
How long is the road the A12 is a part of?,['5320 km'],129 miles,129 mi (208 km),129 mi (208 km),129 mi (208 km),129 mi (208 km),129 miles,129 mi (208 km),129 mi (208 km),129 mi (208 km),129 mi (208 km),129 miles,129 mi (208 km),129 miles,129 miles,129 mi,129 miles,129 mi (208 km),129 mi (208 km),129 miles,129 mi (208 km),129 miles,129 miles,129 mi,129 mi,129 mi
"Egremont Castle is located in what market town, civil parish, and two electoral wards in the Borough of Copeland in Cumbria, England?",['Egremont'],Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont,Egremont
How many chapters does Yōko Shōji's most famous manga have?,['24'],24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters,24 chapters
Agnes Body was the founding head of a state secondary school located on what road?,['Wragby Road'],Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road,Wragby Road
Dance and Laugh Amongst the Rotten is a studio Album by a band from which country ?,['the Netherlands'],Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Dutch,Netherlands,Netherlands,Netherlands,Netherlands,Netherlands
What star in the film Up at the Villa has earned the title of knighthood?,['Sir Derek George Jacobi'],Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas,Kristin Scott Thomas
What competitions does Lai Shiu Wing team compete participate in? ,['FIFA World Cup'],China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,Hong Kong football competitions,Hong Kong football competitions,Hong Kong First Division,Hong Kong First Division,Hong Kong Premier League,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams,China and Hong Kong national teams
What did both Karel Bossart and Sergei Korolev design?,['rocket'],Spacecraft,Spacecraft,Spacecraft,Spacecraft,Spacecraft,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles,Spacecraft,Spacecraft,Spacecraft,Spacecraft,spacecraft and launch vehicles,spacecraft,spacecraft and rocket systems,spacecraft and rocket systems,spacecraft and rocket systems,spacecraft and rocket systems,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles,Spacecraft and missiles
Who wrote the 1970 international hit song Murray Head is most recognized for?,['Andrew Lloyd Webber and Tim Rice'],Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice.,Andrew Lloyd Webber and Tim Rice.,Andrew Lloyd Webber and Tim Rice.,Andrew Lloyd Webber and Tim Rice.,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice,Andrew Lloyd Webber and Tim Rice
Bridgewater Triangle is an area where the phenomenon associated with what type of tradition has been seen?,['Native American'],Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal tradition,Paranormal tradition,Paranormal tradition,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal,Paranormal tradition,Paranormal tradition,Paranormal tradition,Paranormal tradition,Paranormal tradition,Paranormal tradition
EM,,0.42567567567567566,0.43243243243243246,0.4189189189189189,0.4189189189189189,0.40540540540540543,0.3918918918918919,0.39864864864864863,0.39864864864864863,0.38513513513513514,0.39864864864864863,0.39864864864864863,0.40540540540540543,0.40540540540540543,0.40540540540540543,0.39864864864864863,0.40540540540540543,0.41216216216216217,0.41216216216216217,0.41216216216216217,0.40540540540540543,0.4391891891891892,0.4391891891891892,0.4391891891891892,0.4391891891891892,0.4391891891891892
F1,,0.5448636948636949,0.5592781092781093,0.5457645957645957,0.5457645957645957,0.541956241956242,0.5158301158301158,0.5381274131274131,0.5324763074763075,0.5234672984672984,0.5347490347490347,0.5194337194337194,0.523938223938224,0.5216859716859716,0.527895752895753,0.5302445302445303,0.5290979290979291,0.5363051363051363,0.5417105417105417,0.5394582894582894,0.5297940797940799,0.5462516087516088,0.5462516087516088,0.5462516087516088,0.5462516087516088,0.5507561132561133
elapsed time,,78.90221854963818,3.893834987202206,2.075362820883055,2.219260289862349,4.570969423732242,10.891424153302166,1.472366437718675,1.14485325040044,0.9309865977313068,2.7359457144866117,11.61921312035741,1.0932744016518463,0.9945468225994626,1.7907598646911416,2.143525700311403,4.525672260168436,0.9326117602554528,1.0535468233598244,0.7860849419155637,1.8006102539397575,26.386498979620033,0.28873221938674515,0.42205946670996175,0.29520671270989085,0.3045231458303091
