What is the southern region where protestants are concentrated?,"['Cévennes', 'Cévennes', 'Cévennes mountain region']",The Bible Belt,Bible Belt,Bible Belt,The Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,Bible Belt,The Bible Belt,The Bible Belt,Bible Belt,Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,Bible Belt,Bible Belt,The Bible Belt,The Bible Belt,The Bible Belt,Bible Belt,The Bible Belt,Bible Belt,Bible Belt,Bible Belt
When did the attack occur in which the Normans impressed Prince Guaimar III occur?,"['999', 'In 999', '999']",1026,999,Around 994,1024,While they were staying there,999,1011,Around 994,1026,While they were staying there,999,While they were staying there,1026,1017,1026,999,While they were staying there,1026,1026,unknown,"Seventeenth of March, 1041",1026,999,1026,1026,Around 994,During an attack by Saracens,around 994,While they were staying there,11th century,around 994,1026,While they were staying there,While they were staying there,While they were staying there
Which theory states that Earth's features remained unchanged after forming in one single catastrophic event?,"['catastrophism', 'catastrophism', 'catastrophism']",Uniformitarianism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Uniformitarianism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Uniformitarianism,Catastrophism,Catastrophism,Uniformitarianism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism,Catastrophism
What can result in more equal distribution of income?,"['steeper tax', 'social spending', 'steeper tax progressivity']",progressive taxation,"Progressive taxes, welfare systems, education, and healthcare investments",Progressive tax systems,Government policies,Progressive taxation,Taxation and income transfers,Progressive taxes,"Progressive taxes, welfare, education, healthcare","Making taxes more progressive, investing in welfare systems, investing in education and healthcare","Policies such as increasing the minimum wage, expanding the Earned Income Tax, building assets for working families, investing in education, and making tax reforms.","Progressive taxes, welfare, education, healthcare",Minimum wage laws,Minimum wage laws,"Making taxes more progressive, investing in welfare systems, investing in education and healthcare",Minimum wage laws,"Making taxes more progressive, investing in welfare systems, investing in education and healthcare","Making taxes more progressive, investing in welfare systems, investing in education and healthcare",Minimum wage laws,progressive taxation,"Progressive taxes, welfare, education, healthcare","Progressive taxation, cash transfers, investment in human capital, regulation, and inclusive growth strategies",progressive taxation,"Making taxes more progressive, investing in welfare systems, investing in education and healthcare","progressive taxes, welfare systems, education, healthcare, minimum wage laws","Making taxes more progressive, investing in welfare systems, investing in education and healthcare",Progressive tax systems,"Various policies such as increasing the minimum wage, tax reforms, and investing in education.",Redistribution of income,Taxation and income transfers,Taxation and income transfers,Redistribution from those with high incomes to those with low incomes,Minimum wage laws,"Making taxes more progressive, investing in welfare systems, investing in education and healthcare","Investing in welfare systems, making taxes more progressive, and investing in education and healthcare","Progressive taxes, welfare systems, education, healthcare"
The Center in Paris is located near what river?,"['Seine', 'Seine', 'the Seine']",River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,The Seine River,River Seine,River Seine,Seine River,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,Seine River,River Seine,River Seine,River Seine,Seine River,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,River Seine,Seine River,River Seine
Whose theory was the theory of continental drift?,"['Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener', 'Alfred Wegener']",Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener,Alfred Wegener
What could inverted repeats help do?,"['stabilize the rest of the chloroplast genome', 'stabilize the rest of the chloroplast', 'help stabilize the rest of the chloroplast genome']",Define boundaries and indicate self-complementary regions,"Define boundaries, indicate self-complementary regions",Induce deletions and recombination,Prevent DNA degradation and promote DNA rearrangement,Prevent degradation and promote rearrangement,"Define boundaries, indicate self-complementary regions",Prevent degradation of damaged DNA and promote DNA rearrangement,Mediate genome instability,Interfere with DNA replication,Prevent degradation of damaged DNA and promote DNA rearrangement,"Define boundaries, indicate self-complementary regions",cause mutations and disease,Self-complementary base pairing,Regulate DNA metabolism,Self-complementary base pairing,"Define boundaries, indicate self-complementary regions",hinder or confuse DNA replication,Self-complementary base pairing,Define boundaries and indicate self-complementary regions,"Define boundaries, indicate self-complementary regions",Mediate genome instability and gene amplification,Define boundaries and indicate self-complementary regions,"Define boundaries, indicate self-complementary regions",Regulate DNA metabolism,"Define boundaries, indicate self-complementary regions",Induce deletions and recombination,"Define boundaries, indicate self-complementary regions",Regulate DNA metabolism,Mediate genome instability,Regulate DNA metabolism,Mediate genome instability and gene amplification,Self-complementary base pairing,"Define boundaries, indicate self-complementary regions",hinder or confuse DNA replication,"Define boundaries, indicate self-complementary regions"
What are incompetent government's commitment to social justice limited to?,"['rhetoric', 'rhetoric', 'rhetoric']",Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,generalized subsidies or transfers to large sections of the population,Limited,Undermining markets,generalized subsidies or transfers to large sections of the population,Generalized subsidies or transfers,basic social and physical infrastructures underlying health equity,Inefficient policies,generalized subsidies,"Fair division of resources, opportunities, and privileges in society",instances of corruption,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,limited,Generalized subsidies or transfers,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,Corruption,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,Generalized subsidies or transfers to large sections of the population,Limited commitments,Generalized subsidies or transfers,Subgroup of the population,subgroup of the population,Generalized subsidies or transfers,Generalized subsidies or transfers,generalized subsidies or transfers to large sections of the population,Moral grandstanding,Inefficiency
What is the grace that we receive by faith and trust in God?,"['Justifying Grace or Accepting Grace', 'Justifying Grace or Accepting Grace', 'Justifying Grace']","God's love, forgiveness, and salvation.",God's grace,Divine grace,Undeserved favor,A spontaneous gift from God,Spontaneous gift from God,grace of God,Undeserved or unmerited favor,Undeserved favor,Undeserved favor,Divine favor,Undeserved favor,Undeserved favor,"God's love, forgiveness, and salvation",Undeserved favor,"The spontaneous, unmerited gift of divine favor",Spontaneous gift from God,Undeserved favor,"God's love, forgiveness, and salvation.",God's grace,"God's love, forgiveness, and salvation","God's love, forgiveness, and salvation.","Spontaneous, unmerited gift of divine favor",Undeserved favor,"Spontaneous, unmerited gift of divine favor",Divine grace,Undeserved favor,"God loves, forgives, and saves us not because of who we are or what we do, but because of the work of Christ.",Sola gratia,Salvation,God's grace,Undeserved favor,"Spontaneous, unmerited gift of divine favor",A gift from God,Undeserved favor
In what year was the ordination order of transitional deacon abolished?,"['1996', '1996', '1996']",1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
When was the outbreak of World War I?,"['August 1914', 'August 1914', 'August 1914']","July 28, 1914","June 28, 1914",1914,"July 28, 1914",1914,"July 28, 1914","July 28, 1914","July 28, 1914","July 28, 1914","July 28, 1914",1914,"July 28, 1914","July 28, 1914","July 28, 1914","July 28, 1914","June 28, 1914","July 28, 1914","July 28, 1914","July 28, 1914","June 28, 1914","July 28, 1914","July 28, 1914","June 28, 1914","July 28, 1914","June 28, 1914",1914,"July 28, 1914","July 28, 1914","June 28, 1914","July 28, 1914","July 28, 1914","July 28, 1914","June 28, 1914","July 28, 1914","July 28, 1914"
"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","['Josh Norman', 'Josh Norman', 'Norman']",Corey Brown,Josh Norman,Josh Norman,Josh Norman,Josh Norman,Corey Brown,Josh Norman,Corey Brown,Aqib Talib,Trey Boston,Corey Brown,Josh Norman,Corey Brown,Corey Brown,Corey Brown,Corey Brown,Josh Norman,Corey Brown,Corey Brown,Josh Norman,Josh Norman,Corey Brown,Josh Norman,Corey Brown,Josh Norman,Josh Norman,Josh Norman,Corey Brown,Aqib Talib,Corey Brown,Josh Norman,Corey Brown,Josh Norman,Josh Norman,Josh Norman
What type of system did Tesla suggest to Adams?,"['two-phased system', 'a two-phased system', 'two-phased system']",Two-phased system,two-phased system,two-phased system,Two-phased system,Two-phased system,Two-phased system,Two-phased system,two-phase system,two-phased system,two-phased system,two-phased system,two-phased system,Two-phased system,two-phased system,Two-phased system,Two-phased system,two-phased system,Two-phased system,Two-phased system,two-phased system,two-phased system,Two-phased system,two-phased system,Two-phased system,two-phased system,Two-phased system,Two-phased system,Two-phase system,two-phased system,two-phase system,two-phase system,Two-phased system,Two-phased system,two-phased system,two-phased system
"Who taped video intros for Doctor Who shows in Canada, that included a trivia question?","['Christopher Eccleston', 'Christopher Eccleston', 'Christopher Eccleston']",Rachel Talalay,Sir David Attenborough,Sydney Newman,Sydney Newman,David Attenborough,Vancouver,Peter Capaldi,David Attenborough,Peter Capaldi,David Attenborough,David Attenborough,William Hartnell,David Attenborough,Doctor Who,David Attenborough,David Attenborough,Canadian Broadcasting Corporation,David Attenborough,Rachel Talalay,Sir David Attenborough,Sydney Newman,Rachel Talalay,Doctor Who,David Attenborough,Sir David Attenborough,Sydney Newman,Peter Capaldi,Rachel Talalay,Douglas Adams,Peter Mansbridge,Doctor Who,David Attenborough,David Attenborough,Canadian Broadcasting Corporation,Peter Capaldi
What major event U.S. occurred that made the BBC delay the broadcast?,"['the assassination of US President John F. Kennedy', 'assassination of US President John F. Kennedy', 'the assassination of US President John F. Kennedy']","September 11, 2001 terrorist attacks",9/11 attacks,9/11 attacks,9/11 attacks,The 9/11 attacks,9/11 attacks,September 11 attacks,The 9/11 attacks,9/11 attacks,9/11 attacks,The 9/11 attacks,9/11 attacks,9/11 attacks,9/11 attacks,9/11 attacks,The 9/11 attacks,The 9/11 attacks,The 9/11 attacks,"September 11, 2001 terrorist attacks",9/11 attacks,9/11 attacks,"September 11, 2001 terrorist attacks",9/11 attacks,"September 11, 2001 terrorist attacks",The 9/11 attacks,9/11 attacks,9/11 attacks,9/11 attacks,"September 11, 2001 terrorist attacks","September 11, 2001 attacks","September 11, 2001 terrorist attacks",9/11 attacks,The 9/11 attacks,The 9/11 attacks,9/11 attacks
What was the name of Temüjin's wife Börte's first son?,"['Jochi', 'Jochi', 'Jochi']",Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi,Jochi
What resolution were the cameras increased to for the game?,"['5K resolution', '5K', '5K']",128x112 pixels,640x480 pixels,640x480 pixels,720p HD,128,1280x720,128x112 pixels,640x480,720p,1080p,4-5 megapixels,1920x1080,0.014 megapixels,Higher resolution,128x112 pixels,640x480 pixels,1080p,128x112 pixels,128x112 pixels,640x480 pixels,128x128 pixels,128x112 pixels,640x480 pixels,128x128 pixels,640x480 pixels,640x480 pixels,128x112 pixels,native resolution,No specific resolution,Higher resolution,No specific resolution,128x112 pixels,640x480 pixels,3840x2160,128x112 pixels
Who took control of Qara Khitai after fleeing Temüjin's Mongol Empire?,"['Kuchlug', 'Kuchlug', 'Kuchlug']",Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug,Kuchlug
What is an example of an NP-intermediate problem not known to exist in P or NP-complete? ,"['graph isomorphism problem', 'the discrete logarithm problem', 'graph isomorphism problem, the discrete logarithm problem and the integer factorization problem']",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem","The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",Graph isomorphism problem,"Graph isomorphism problem, discrete logarithm problem, integer factorization problem",graph isomorphism problem,Graph isomorphism problem,Graph isomorphism problem,"graph isomorphism problem, discrete logarithm problem, integer factorization problem",The discrete logarithm problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem","Graph isomorphism, discrete logarithm, and integer factorization problems",Graph isomorphism,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem","Graph isomorphism, discrete logarithm, integer factorization",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem","Graph isomorphism, discrete logarithm, integer factorization",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",Graph isomorphism problem,Graph isomorphism problem,Graph isomorphism problem,Graph isomorphism,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem","The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",Discrete logarithm problem,Graph isomorphism problem,Graph isomorphism problem,"Graph isomorphism problem, decision versions of factoring, and the discrete logarithm problem",Graph isomorphism problem,"Graph isomorphism, discrete logarithm, integer factorization",Graph isomorphism problem,"The graph isomorphism problem, the discrete logarithm problem, and the integer factorization problem",The discrete logarithm problem
In what year was the Great Internet Mersenne Prime Search project conducted?,"['In 2009', '2009', '2009', '2009', '2009']",1996,1996,1996,1996,January 1996,1996,January 1996,1996,1996,1996,1996,1996,1996,January 1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,January 1996,1996,1996,1996,1996,1996,1996,1996,1996,1996,1996
Who was sacked as the first half clock expired?,"['Newton', 'Newton', 'Newton']",Kyle McCord,Jalen Hurts,Saquon Barkley,McCord,Kyle McCord,McCord,Kyle McCord,Kyle McCord,Kyle McCord,Saquon Barkley,Martin Jol,McCord,Frank Lampard,Jalen Hurts,Kyle McCord,Jalen Hurts,Jalen Hurts,Kyle McCord,Frank Lampard,Jalen Hurts,Trevor Lawrence,Frank Lampard,Jalen Hurts,Frank Lampard,Jalen Hurts,Saquon Barkley,Kyle McCord,Kyle McCord,Kyle McCord,Jalen Hurts,The quarterback,Frank Lampard,Jalen Hurts,Jalen Hurts,Kyle McCord
Why did oil start getting priced in terms of gold?,"[""oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased."", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased"", ""Because oil was priced in dollars, oil producers' real income decreased""]",falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,OPEC nations resorted to pricing their oil in terms of gold,Falling value of the dollar,Falling value of the dollar,falling value of the dollar,Ending of the Bretton Woods agreement,falling value of the dollar,Falling value of the dollar,Falling value of the dollar,falling value of the dollar,falling value of the dollar,Falling value of the dollar,Falling value of the dollar,falling value of the dollar,Falling value of the dollar,falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Falling value of the dollar,falling value of the dollar,Falling value of the dollar,Falling value of the dollar,Decreased revenues from oil
What was the final score of the game between the Panthers and the Seahawks?,"['31–24', '31–24', '31–24']",37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27,37-27
WHat were features of Apple Talk ,"['that allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server', 'allowed local area networks to be established ad hoc without the requirement for a centralized router or server']",No setup needed,No prior setup needed,No prior setup needed,Multiple network types,Local area networking without prior setup,No prior setup needed,No prior setup needed,No prior setup or centralized router needed,Supported multiple network types,No setup needed,"No prior setup needed, supported various network types.",No prior setup needed,No setup needed,"Supported various networks, assigned unique 8-bit node ID",No setup needed,No prior setup needed,Supported multiple network types,No setup needed,No setup needed,Supported various network types and assigned unique node IDs.,"LocalTalk, TokenTalk, EtherTalk, and FDDITalk networks, 8-bit node ID",No setup needed,No prior setup needed,No setup needed,No setup needed,No prior setup needed,No prior setup needed,"LocalTalk, TokenTalk, EtherTalk, and FDDITalk networks","LocalTalk, EtherTalk, TokenTalk","LocalTalk, TokenTalk, EtherTalk, and FDDITalk networks","LocalTalk, TokenTalk, EtherTalk, and FDDITalk networks",No setup needed,No prior setup needed,Supported multiple network types,No prior setup needed
What danger did the IPCC understate?,"['projected rises in sea levels', 'rises in sea levels', 'projected rises in sea levels']",Climate change,Climate change,Climate change,The real costs of climate change and its contribution to natural disasters,The real costs of climate change and its contribution to natural disasters,Melting Greenland and Antarctic ice sheets,global CO2 emission rates,Global CO2 emission rates,Climate change,Potential impacts of climate change,Climate risks,potential impacts of climate change,Climate change,Climate change,Climate change,Global CO2 emission rates and temperature rates,climate risks,Climate change,Climate change,Climate change,Sea-level rise from melting ice sheets,Climate change,Climate change,Climate change,Global CO2 emission rates,Climate change,Climate change,Climate change,Climate change,Sea-level rise from melting ice sheets,Climate change,Climate change,Climate change,climate risks,Sea-level rise
Who is the current Governor of Victoria?,"['Linda Dessau', 'Linda Dessau', 'Linda Dessau']",Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Monarch of Australia,Margaret Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Elaine Gardner,Margaret Elaine Gardner,Margaret Gardner,Margaret Gardner,Margaret Elaine Gardner
How quick was the effect of Luther's preaching?,"['immediate', 'immediate', 'immediate']",Within a year,Within two weeks,quick,Four years,Within two weeks,Quick,two weeks,Quick,two weeks,Within two weeks,Within a year,The Catholic Church reacted quickly,Within a year,Quick,Within a year,Two weeks,quick,Within a year,Within a year,Within two weeks,Within two weeks,Within a year,Two weeks,Within a year,Within two weeks,quick,Barely four years later,Quick,Quick,Quick,Quick,Within a year,Within two weeks,quick,Quickly
How many interceptions did Aqib Talib have for the regular season?,"['three.', 'three', 'three']",35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
What did John Dobson describe Newcastle as?,"[""England's best-looking city"", ""England's best-looking city"", ""England's best-looking city""]","""fashionable ideas from London""",The finest in England,finest in England,a base and fortress,The finest in England,"""the most beautiful city in England""",His single most influential design,the most beautiful city in the world,finest in England,His single most influential design,"""the finest in England""","His ""single most influential design""",fashionable,Neoclassical center,"""fashionable ideas from London""",the finest in England,"""the most beautiful city in England""","""fashionable ideas from London""","""fashionable ideas from London""",the finest in England,the finest in England,His single most influential design,the finest in England,a city with a village atmosphere,"""the finest in England""",finest in England,neoclassical style,"""the great northern city""",Neoclassical center of Newcastle,an elegant city center,"""neoclassical centre of Newcastle""","""most beautiful town""",the finest in England,"""the most beautiful city in England""",the Dobsonian telescope
Tumors that are able to evade the body's immune response can become what?,"['cancers', 'cancers', 'cancers']",Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Cancer,overt clinical cancer,Overt clinical cancer,Overt clinical cancer,Clinical cancer,Overt clinical cancer,Overt clinical cancer
Which sitcom produced a spinoff for ABC after ending its run in 1984?,"[""Three's Company"", ""Three's Company"", ""Three's Company""]",Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,"""Three's Company""",Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Happy Days,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Happy Days,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company,Three's Company
"Normally silver, what color was used for the number 50?","['gold', 'gold', 'gold']",Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold,Gold
When did Kibaki and Odinga sing an agreement on the formation of government?,"['28 February 2008', '28 February 2008', '28 February 2008']","February 28, 2008",February 2008,"February 28, 2008",2008,"February 28, 2008",2008,"February 28, 2008","February 28, 2008","February 28, 2008","February 28, 2008","February 28, 2008","February 28, 2008","February 28, 2008",February 2008,"February 28, 2008",2008,"February 28, 2008","February 28, 2008","February 28, 2008",February 2008,"February 28, 2008","February 28, 2008",2008,"February 28, 2008",2008,"February 28, 2008",2008,After weeks of nationwide unrest,2008,After weeks of nationwide unrest,After weeks of nationwide unrest,"February 28, 2008",2008,"February 28, 2008",February 28
What radio station did the Doctor Who theme reach the charts on in 2011?,"[""Classic FM's Hall of Fame"", 'Classic FM', ""Classic FM's Hall of Fame""]",UK iTunes Top Songs chart,Pinnacle,BBC Radio 4 Extra,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK Singles Chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,BBC Radio 1,UK iTunes Top Songs chart,Pinnacle,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,Pinnacle,Pinnacle,UK iTunes Top Songs chart,Pinnacle,UK iTunes Top Songs chart,Pinnacle,BBC Radio 4 Extra,BBC Radio 1,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,UK iTunes Top Songs chart,Pinnacle,UK iTunes Top Songs chart,BBC Radio 1
How many quadrangles does the Main Quadrangles have?,"['six', 'six quadrangles', 'six', 'six']",One,Seven,Seven quadrangles,One quadrangle,One,seven,Seven,Subsections,One quadrangle,Seven,six,One quadrangle,One,One,One,Seven,One quadrangle,One,One,Seven,One quadrangle,One,Seven quadrangles,One,Seven quadrangles,Seven,Seven,One,Six,Seven,One,One,Seven,One quadrangle,Seven
How much of the population in the Middle East died of the plague?,"['about a third.', 'about a third', 'about a third']",33%,Approximately 33%,Approximately 33%,approximately 33%,approximately 33%,Approximately 33%,33%,33% to 42%,Approximately 33%,33%,Approximately 33%,approximately 33%,33%,approximately 33%,33%,Approximately 33%,33%,33%,33%,Approximately 33%,approximately 33%,33%,Approximately 33%,33%,Approximately 33%,Approximately 33%,33%,33%,Approximately 33%,approximately 33%,approximately 33%,33%,Approximately 33%,33%,33%
What did Charles Parsons invent?,"['the steam turbine', 'the steam turbine', 'the steam turbine']",Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,multi-stage steam turbine,multi-stage steam turbine,The multi-stage steam turbine,multi-stage steam turbine,Compound steam turbine,modern steam turbine,multi-stage steam turbine,Multi-stage steam turbine,multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Compound steam turbine,Compound steam turbine,multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Multi-stage steam turbine,Steam turbine,Compound steam turbine,Multi-stage steam turbine,Compound steam turbine,Compound steam turbine,multi-stage steam turbine,Multi-stage steam turbine
In what year was the Alan Turing's definitional model of a computing device received?,"['1936', '1936', '1936']",1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936,1936
How many research institutes does the university run on campus?,"['12', '12', '12']",Over 60,Over 60,Over 60,Over 60,More than 290,Over 50,Over 60,Over 60,Several,Over 60,,Over 50,Over 60,15,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,Over 60,More than 70,More than 70,146,More than 100,Over 60,Over 60,Over 60,Over 60,More than 70
When did Henry issue the Edict of Nantes?,"['1598', '1598', '1598']","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598",April 1598,"April 13, 1598",April 1598,"April 13, 1598","April 13, 1598","April 13, 1598","April 13, 1598"
What was the age difference between Newton and Manning in Super Bowl 50?,"['13 years and 48 days', '13 years and 48 days', '13 years and 48 days']",13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days,13 years and 48 days
